"ValueCount","Name","LastWriteTime"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call6","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call6\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call6\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call7","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call7\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call7\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call8","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call8\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call8\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call9","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call9\.Current","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Looping.Call9\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Mail","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Mail\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Mail\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Proximity","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Proximity\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Proximity\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Reminder","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Reminder\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.Reminder\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.SMS","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.SMS\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Notification.SMS\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Open","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Open\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\Open\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\PrintComplete","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\PrintComplete\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\PrintComplete\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\ProximityConnection","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\ProximityConnection\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\ProximityConnection\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\RestoreDown","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\RestoreDown\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\RestoreDown\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\RestoreUp","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\RestoreUp\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\RestoreUp\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\ShowBand","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\ShowBand\.Current","18/11/2018 19:01:19"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemAsterisk","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemAsterisk\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemAsterisk\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemExclamation","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemExclamation\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemExclamation\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemExit","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemExit\.Current","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemExit\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemHand","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemHand\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemHand\.Default","18/11/2018 18:58:57"
"0","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemNotification","18/11/2018 18:58:57"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemNotification\.Current","18/11/2018 19:01:19"
"1","HKEY_CURRENT_USER\AppEvents\Schemes\Apps\.Default\SystemNotification\.Default","18/11/2018 18:58:57"
